OBJECTID,ELEVATION,TRAVEL,LON,LAT
348.00000,381.98393,37.82000,-79.2235025,35.4773794
349.00000,350.19603,54.84000,-79.2255342,35.4773929
350.00000,361.81249,98.20000,-79.2245437,35.4751163
351.00000,355.14942,37.78000,-79.2253509,35.4763293
352.00000,356.93698,37.78000,-79.2270228,35.4764342
353.00000,387.25075,98.20000,-79.2228991,35.4751203
354.00000,397.40698,98.20000,-79.2213556,35.4748881
355.00000,384.05315,101.44000,-79.2196460,35.4749515
356.00000,410.58844,101.44000,-79.2181401,35.4750203
357.00000,403.50934,36.19000,-79.2210797,35.4736008
358.00000,381.07037,41.00000,-79.2199337,35.4811058
359.00000,345.40833,56.04000,-79.2169000,35.4819670
360.00000,343.09440,58.29000,-79.2150007,35.4839321
361.00000,341.50819,50.23000,-79.2135944,35.4844157
362.00000,333.52677,48.70000,-79.2111939,35.4852254
363.00000,339.45039,56.80000,-79.2098633,35.4851145
364.00000,291.59976,53.88000,-79.2089623,35.4833896
365.00000,302.47192,57.12000,-79.2097756,35.4824083
366.00000,312.94190,57.60000,-79.2106917,35.4824271
367.00000,342.74691,54.46000,-79.2122594,35.4819364
368.00000,356.33206,53.88000,-79.2133960,35.4818193
369.00000,363.38452,55.61000,-79.2145204,35.4815700
370.00000,357.79006,55.80000,-79.2153806,35.4814052
371.00000,340.23248,56.04000,-79.2157439,35.4825111
372.00000,309.02441,50.23000,-79.2120181,35.4839226
373.00000,321.69662,50.23000,-79.2127536,35.4834055
374.00000,331.92496,50.23000,-79.2144193,35.4824713
375.00000,328.74170,50.23000,-79.2127965,35.4829125
376.00000,320.22059,59.39000,-79.2100233,35.4812308
377.00000,333.30659,54.62000,-79.2096402,35.4803388
378.00000,367.63265,46.74000,-79.2080431,35.4813884
379.00000,348.30145,53.99000,-79.2059692,35.4806528
380.00000,344.42554,53.99000,-79.2051000,35.4806901
381.00000,290.47054,57.13000,-79.2063443,35.4846025
382.00000,345.67051,57.42000,-79.2083515,35.4861919
383.00000,317.26679,59.08000,-79.2061096,35.4874262
384.00000,331.36736,56.07000,-79.2155221,35.4865569
385.00000,363.60092,54.79000,-79.2238373,35.4843682
386.00000,360.53090,54.79000,-79.2254347,35.4844645
387.00000,372.21920,54.79000,-79.2237817,35.4831715
388.00000,387.27993,54.79000,-79.2236871,35.4825927
389.00000,393.57256,148.65000,-79.2245925,35.4823313
390.00000,386.74891,148.65000,-79.2242993,35.4815237
391.00000,381.10946,54.84000,-79.2240392,35.4806377
392.00000,367.60730,57.26000,-79.2228998,35.4809400
393.00000,396.40445,53.47000,-79.2217927,35.4824154
394.00000,397.49024,55.92000,-79.2226997,35.4824056
395.00000,363.97502,62.26000,-79.2171978,35.4806547
396.00000,349.83356,55.80000,-79.2147562,35.4801588
397.00000,416.50612,55.80000,-79.2155977,35.4781367
398.00000,327.52395,55.61000,-79.2137796,35.4790697
399.00000,290.88140,54.03000,-79.1978937,35.4803133
400.00000,364.32493,55.21000,-79.2234085,35.4802508
401.00000,354.88483,148.65000,-79.2281878,35.4833441
402.00000,337.26163,148.65000,-79.2292575,35.4834881
403.00000,325.06877,47.41000,-79.2302330,35.4839361
404.00000,339.24399,49.00000,-79.2302694,35.4848700
405.00000,337.82663,28.09000,-79.2264521,35.5080298
406.00000,316.91284,27.99000,-79.2264068,35.5095254
407.00000,327.22188,27.99000,-79.2253230,35.5090693
